Subject,Text
ASPxFileManage - How to get the source code for the Multi-File Selection online demo,"hi,<br><br>In your multiple file selection demo: <br><a href=""http://demos.devexpress.com/ASPxFileManagerAndUploadDemos/UploadControl/MultiFileSelection.aspx"">http://demos.devexpress.com/ASPxFileManagerAndUploadDemos/UploadControl/MultiFileSelection.aspx</a><br><br>I am trying to implement the <strong>UploadedFilesContainer</strong>. I believe some of the code is missing from the demo.<br>On researching further I&nbsp;realized there are a couple of files that I need: UploadedFilesConatiner user control, Demo.js file etc.<br><br>Can you please post these and other required file?<br><br>P.S. I am using VB.net and I do not have any demos installed.<br><br>Thanks,<br>Sankalp&nbsp; "
ASPxFileManager - How to allow single file upload,"Hi,<br><br>I have created a user control using&nbsp;the file upload and submit function given in&nbsp;File Manager and File Upload - Upload Control. I use it at many forms in my application. But at one place I want this control to allow only a single file to be uploaded from it. For this I used&nbsp;EnableMultiSelect property and it allows selection of one file only but I can choose a single file multiple times and that leads to multiple files again. What can be done to prevent this? I am looking for something like if&nbsp;EnableMultiSelect is false the repeated file selection replaces the previous selected file.<br><br>Regards<br>Pradeep "
ASPxFileManager - How to allow single file upload based on the Upload And Submit Demo,"Hi,<br><br>I have created a user control using&nbsp;the file upload and submit function given in&nbsp;File Manager and File Upload - Upload Control. I use it at many forms in my application. But at one place I want this control to allow only a single file to be uploaded from it. For this I used&nbsp;EnableMultiSelect property and it allows selection of one file only but I can choose a single file multiple times and that leads to multiple files again. What can be done to prevent this? I am looking for something like if&nbsp;EnableMultiSelect is false the repeated file selection replaces the previous selected file.<br><br>Regards<br>Pradeep "
ASPxFileManager - How to allow single file upload in the Upload And Submit Demo,"Hi,<br><br>I have created a user control using&nbsp;the file upload and submit function given in&nbsp;File Manager and File Upload - Upload Control. I use it at many forms in my application. But at one place I want this control to allow only a single file to be uploaded from it. For this I used&nbsp;EnableMultiSelect property and it allows selection of one file only but I can choose a single file multiple times and that leads to multiple files again. What can be done to prevent this? I am looking for something like if&nbsp;EnableMultiSelect is false the repeated file selection replaces the previous selected file.<br><br>Regards<br>Pradeep "
ASPxFileManager - How to hide/show files/folders using access rules,"Hi,<br>  I am using Filemanager with a custom file system provider inherited from DataSourcefFleSystemProvider. Everything seems to work fine except when i try to hide a subfolder with accessrules : I have a Folder2 included in a Folder1 included in the root. I want to hide Folder2 and its content. Could you show me how to define necessary folder or/and file access rules ?<br><br>Thanks "
ASPxFileManager - How to select a folder based on a selected row in ASPxGridView,"I have a combo box that is bound to a ASPxGridView and when I select a name from the combo, it populates&nbsp; the ASPxGridView.&nbsp; I&nbsp; have a root folder with name folders in a&nbsp;ASPxFileManager and I am trying to display the files in the persons folder when a grid row is selected.&nbsp; I'm retrieving the correct information when the row is selected, but I can't seem to get the ASPxFileManager to programmatically select a folder on the tree to display the files within.<br>"
ASPxFilterControl - Make it possible to create and edit any valid criteria operator,"<p><strong>EDITED (by Dennis):</strong></p>
<p>1. It should be possible to select collection properties and complex reference paths (check <a data-ticket=""S35190"">S35190</a>&nbsp;for a temporary solution for XAF Web apps);<br />2. It should be possible to write any valid criteria operator, including custom functions. The Text type allowing manual input is good for this.<br />Refer to the attached WinForms screenshot for more details on what it could look like in the UI.<br /><strong><br /></strong></p>"
ASPxFilterControl - Make it possible to create and edit any valid criteria operator,"<p><strong>EDITED (by Dennis):</strong></p>
<p>1. It should be possible to select collection properties and complex reference paths (check <a data-ticket=""S35190"">S35190</a>&nbsp;for a temporary solution for XAF Web apps);<br />2. It should be possible to write any valid criteria operator, including custom functions. The Text type allowing manual input is good for this.<br />Refer to the attached WinForms screenshot for more details on what it could look like in the UI.<br /><strong><br />See also:</strong><br /><a data-ticket=""S35190"">ASPxFilterControl - show properties list in a tree to provide a capability to use properties of the referenced objects in criteria</a></p>"
ASPxFilterControl - Make it possible to create and edit any valid criteria operator,"<p><strong>EDITED (by Dennis):</strong></p>
<p>1. It should be possible to select collection properties and complex reference paths;<br />2. It should be possible to write any valid criteria operator, including custom functions. The Text type allowing manual input is good for this.<br />Refer to the attached WinForms screenshot for more details on what it could look like in the UI.<br /><strong><br />See also:</strong><br /><a data-ticket=""S35190"">ASPxFilterControl - show properties list in a tree to provide a capability to use properties of the referenced objects in criteria</a></p>"
ASPxFilterControl - Make it possible to create and edit any valid criteria operator,"<p><strong>See also:</strong><br /><a data-ticket=""S35190"">ASPxFilterControl - show properties list in a tree to provide a capability to use properties of the referenced objects in criteria</a></p>"
ASPxFilterControl - Make it possible to create and edit any valid criteria operator,"<p><strong>UPDATED by Dennis (DevExpress Support):</strong><br />It should be possible to use collection properties and complex reference paths like Manager.Position.Title while creating criteria visually.&nbsp;Refer to the attached WinForms screenshot for more details on what it could look like in the UI.</p>
<p>Check out the <a data-ticket=""T161022"">T161022</a>&nbsp;and&nbsp;<a data-ticket=""Q357251"">Q357251</a>&nbsp;tickets for temporary solutions in XAF Web apps.<br /><br /><strong>See Also:</strong></p>
<p><a data-ticket=""S31977"">ASPxFilterControl - Allow construct rules [Column1] [operation] [Column2] like in WinForms</a><br /><a data-ticket=""T166826"">ASPxFilterControl - Support predefined operations for date columns like in WinForms</a><br /><a data-ticket=""S38753"">ASPxFilterControl - Add the Text tab to allow creating criteria of any complexity</a></p>"
ASPxFilterControl - Make it possible to create and edit any valid criteria operator,"<p><strong>UPDATED by Dennis (DevExpress Support):</strong><br />It should be possible to use collection properties and complex reference paths like Manager.Position.Title while creating criteria visually.&nbsp;Refer to the attached WinForms screenshot for more details on what it could look like in the UI.</p>
<p>Check out the <a data-ticket=""T161022"">T161022</a>&nbsp;and&nbsp;<a data-ticket=""Q357251"">Q357251</a>&nbsp;tickets for temporary solutions in XAF Web apps.<br /><br /><strong>See Also:</strong></p>
<p><a data-ticket=""S38753"">ASPxFilterControl - Add the Text tab to allow creating any criteria</a><br /><a data-ticket=""S31977"">ASPxFilterControl - allow construct rules [Column1] [operation] [Column2] and Date constants like WinForms</a></p>"
ASPxFilterControl - Make it possible to create and edit any valid criteria operator,"<p><strong>UPDATED&nbsp;by Dennis (DevExpress Support):</strong></p>
<p>1. It should be possible to select collection properties and complex reference paths;<br />2. It should be possible to create and edit&nbsp;any valid criteria operator, including custom functions and free joins. A separate&nbsp;Text tab&nbsp;allowing manual input is good for this.&nbsp;Refer to the attached WinForms screenshot for more details on what it could look like in the UI.<br /><br />Check out the&nbsp;<a data-ticket=""Q357251"">Q357251</a>&nbsp;ticket for a temporary solution for XAF Web apps.<br /><strong><br /></strong></p>"
ASPxFilterControl - Make it possible to create and edit any valid criteria operator,"<p><strong>UPDATED&nbsp;by Dennis (DevExpress Support):</strong></p>
<p>1. It should be possible to select collection properties and complex reference paths;<br />2. It should be possible to create and edit&nbsp;any valid criteria operator, including custom functions and free joins. A separate&nbsp;Text tab&nbsp;allowing manual input is good for this.&nbsp;Refer to the attached WinForms screenshot for more details on what it could look like in the UI.<br /><br />Check out the&nbsp;<a data-ticket=""S35190"">S35190</a>&nbsp;ticket for a temporary solution for XAF Web apps.<br /><strong><br /></strong></p>"
ASPxFilterControl - Make it possible to create and edit any valid criteria operator,"<p><strong>UPDATED&nbsp;by Dennis (DevExpress Support):</strong></p>
<p>1. It should be possible to use collection properties and complex reference paths like Manager.Position.Title visually;<br />2. It should be possible to create and edit&nbsp;any valid criteria operator, including custom functions and free joins. A separate&nbsp;Text tab&nbsp;allowing manual input is good for this.&nbsp;Refer to the attached WinForms screenshot for more details on what it could look like in the UI.<br />Check out the <a data-ticket=""T161022"">T161022</a>&nbsp;and&nbsp;<a data-ticket=""Q357251"">Q357251</a>&nbsp;tickets for temporary solution in XAF Web apps.<br /><br /><strong>See Also:</strong></p>
<p><a data-ticket=""S38753"">ASPxFilterControl - Add the Text tab to allow creating any criteria</a><br /><a data-ticket=""S31977"">ASPxFilterControl - allow construct rules [Column1] [operation] [Column2] and Date constants like WinForms</a></p>"
ASPxFilterControl - Make it possible to create and edit any valid criteria operator,"<p><strong>UPDATED&nbsp;by Dennis (DevExpress Support):</strong></p>
<p>1. It should be possible to use collection properties and complex reference paths like Manager.Position.Title visually;<br />2. It should be possible to create and edit&nbsp;any valid criteria operator, including custom functions and free joins. A separate&nbsp;Text tab&nbsp;allowing manual input is good for this.&nbsp;Refer to the attached WinForms screenshot for more details on what it could look like in the UI.<br />Check out the <a data-ticket=""T161022"">T161022</a>&nbsp;and&nbsp;<a data-ticket=""Q357251"">Q357251</a>&nbsp;tickets for temporary solution in XAF Web apps.<strong><br /></strong></p>"
ASPxFilterControl - Make it possible to create and edit any valid criteria operator,"<p>It should be possible to use collection properties and complex reference paths like Manager.Position.Title visually.&nbsp;Refer to the attached WinForms screenshot for more details on what it could look like in the UI.</p>
<p>Check out the <a data-ticket=""T161022"">T161022</a>&nbsp;and&nbsp;<a data-ticket=""Q357251"">Q357251</a>&nbsp;tickets for temporary solutions in XAF Web apps.<br /><br /><strong>See Also:</strong></p>
<p><a data-ticket=""S38753"">ASPxFilterControl - Add the Text tab to allow creating any criteria</a><br /><a data-ticket=""S31977"">ASPxFilterControl - allow construct rules [Column1] [operation] [Column2] and Date constants like WinForms</a></p>"
ASPxFilterControl - Make it possible to create and edit any valid criteria operator,"<p>See also:<br />
<a data-ticket=""S35143"">Filtering - Support hierarchical datasource structure (complex properties) in FilterControl and ASPxFilterControl</a><br />
<a data-ticket=""S32994"">FilterControl - show properties list in a tree to provide a capability to use properties of the referenced objects in criteria</a><br />
<a data-ticket=""S31300"">Add a control allowing the creation of any valid CriteriaOperator</a></p>"
ASPxFilterControl - Provide a tree-like field pickeer to be able to created criteria based on collection and nested properties of object references,"<p><strong>EDITED (by Dennis):</strong></p>
<p>1. It should be possible to select collection properties and complex reference paths (check <a data-ticket=""S35190"">S35190</a>&nbsp;for a temporary solution for XAF Web apps);<br />2. It should be possible to write any valid criteria operator, including custom functions. The Text type allowing manual input is good for this.<br />Refer to the attached WinForms screenshot for more details on what it could look like in the UI.<br /><strong><br /></strong></p>"
ASPxFilterControl - Provide a tree-like field pickeer to be able to created criteria based on collection and nested properties of object references,"<p><strong>EDITED (by Dennis):</strong></p>
<p>1. It should be possible to select collection properties and complex reference paths (check <a data-ticket=""S35190"">S35190</a>&nbsp;for a temporary solution for XAF Web apps);<br />2. It should be possible to write any valid criteria operator, including custom functions. The Text type allowing manual input is good for this.<br />Refer to the attached WinForms screenshot for more details on what it could look like in the UI.<br /><strong><br />See also:</strong><br /><a data-ticket=""S35190"">ASPxFilterControl - show properties list in a tree to provide a capability to use properties of the referenced objects in criteria</a></p>"
ASPxFilterControl - Provide a tree-like field pickeer to be able to created criteria based on collection and nested properties of object references,"<p><strong>EDITED (by Dennis):</strong></p>
<p>1. It should be possible to select collection properties and complex reference paths;<br />2. It should be possible to write any valid criteria operator, including custom functions. The Text type allowing manual input is good for this.<br />Refer to the attached WinForms screenshot for more details on what it could look like in the UI.<br /><strong><br />See also:</strong><br /><a data-ticket=""S35190"">ASPxFilterControl - show properties list in a tree to provide a capability to use properties of the referenced objects in criteria</a></p>"
ASPxFilterControl - Provide a tree-like field pickeer to be able to created criteria based on collection and nested properties of object references,"<p><strong>See also:</strong><br /><a data-ticket=""S35190"">ASPxFilterControl - show properties list in a tree to provide a capability to use properties of the referenced objects in criteria</a></p>"
ASPxFilterControl - Provide a tree-like field pickeer to be able to created criteria based on collection and nested properties of object references,"<p><strong>UPDATED by Dennis (DevExpress Support):</strong><br />It should be possible to use collection properties and complex reference paths like Manager.Position.Title while creating criteria visually.&nbsp;Refer to the attached WinForms screenshot for more details on what it could look like in the UI.</p>
<p>Check out the <a data-ticket=""T161022"">T161022</a>&nbsp;and&nbsp;<a data-ticket=""Q357251"">Q357251</a>&nbsp;tickets for temporary solutions in XAF Web apps.<br /><br /><strong>See Also:</strong></p>
<p><a data-ticket=""S31977"">ASPxFilterControl - Allow construct rules [Column1] [operation] [Column2] like in WinForms</a><br /><a data-ticket=""T166826"">ASPxFilterControl - Support predefined operations for date columns like in WinForms</a><br /><a data-ticket=""S38753"">ASPxFilterControl - Add the Text tab to allow creating criteria of any complexity</a></p>"
ASPxFilterControl - Provide a tree-like field pickeer to be able to created criteria based on collection and nested properties of object references,"<p><strong>UPDATED by Dennis (DevExpress Support):</strong><br />It should be possible to use collection properties and complex reference paths like Manager.Position.Title while creating criteria visually.&nbsp;Refer to the attached WinForms screenshot for more details on what it could look like in the UI.</p>
<p>Check out the <a data-ticket=""T161022"">T161022</a>&nbsp;and&nbsp;<a data-ticket=""Q357251"">Q357251</a>&nbsp;tickets for temporary solutions in XAF Web apps.<br /><br /><strong>See Also:</strong></p>
<p><a data-ticket=""S38753"">ASPxFilterControl - Add the Text tab to allow creating any criteria</a><br /><a data-ticket=""S31977"">ASPxFilterControl - allow construct rules [Column1] [operation] [Column2] and Date constants like WinForms</a></p>"
ASPxFilterControl - Provide a tree-like field pickeer to be able to created criteria based on collection and nested properties of object references,"<p><strong>UPDATED&nbsp;by Dennis (DevExpress Support):</strong></p>
<p>1. It should be possible to select collection properties and complex reference paths;<br />2. It should be possible to create and edit&nbsp;any valid criteria operator, including custom functions and free joins. A separate&nbsp;Text tab&nbsp;allowing manual input is good for this.&nbsp;Refer to the attached WinForms screenshot for more details on what it could look like in the UI.<br /><br />Check out the&nbsp;<a data-ticket=""Q357251"">Q357251</a>&nbsp;ticket for a temporary solution for XAF Web apps.<br /><strong><br /></strong></p>"
ASPxFilterControl - Provide a tree-like field pickeer to be able to created criteria based on collection and nested properties of object references,"<p><strong>UPDATED&nbsp;by Dennis (DevExpress Support):</strong></p>
<p>1. It should be possible to select collection properties and complex reference paths;<br />2. It should be possible to create and edit&nbsp;any valid criteria operator, including custom functions and free joins. A separate&nbsp;Text tab&nbsp;allowing manual input is good for this.&nbsp;Refer to the attached WinForms screenshot for more details on what it could look like in the UI.<br /><br />Check out the&nbsp;<a data-ticket=""S35190"">S35190</a>&nbsp;ticket for a temporary solution for XAF Web apps.<br /><strong><br /></strong></p>"
ASPxFilterControl - Provide a tree-like field pickeer to be able to created criteria based on collection and nested properties of object references,"<p><strong>UPDATED&nbsp;by Dennis (DevExpress Support):</strong></p>
<p>1. It should be possible to use collection properties and complex reference paths like Manager.Position.Title visually;<br />2. It should be possible to create and edit&nbsp;any valid criteria operator, including custom functions and free joins. A separate&nbsp;Text tab&nbsp;allowing manual input is good for this.&nbsp;Refer to the attached WinForms screenshot for more details on what it could look like in the UI.<br />Check out the <a data-ticket=""T161022"">T161022</a>&nbsp;and&nbsp;<a data-ticket=""Q357251"">Q357251</a>&nbsp;tickets for temporary solution in XAF Web apps.<br /><br /><strong>See Also:</strong></p>
<p><a data-ticket=""S38753"">ASPxFilterControl - Add the Text tab to allow creating any criteria</a><br /><a data-ticket=""S31977"">ASPxFilterControl - allow construct rules [Column1] [operation] [Column2] and Date constants like WinForms</a></p>"
ASPxFilterControl - Provide a tree-like field pickeer to be able to created criteria based on collection and nested properties of object references,"<p><strong>UPDATED&nbsp;by Dennis (DevExpress Support):</strong></p>
<p>1. It should be possible to use collection properties and complex reference paths like Manager.Position.Title visually;<br />2. It should be possible to create and edit&nbsp;any valid criteria operator, including custom functions and free joins. A separate&nbsp;Text tab&nbsp;allowing manual input is good for this.&nbsp;Refer to the attached WinForms screenshot for more details on what it could look like in the UI.<br />Check out the <a data-ticket=""T161022"">T161022</a>&nbsp;and&nbsp;<a data-ticket=""Q357251"">Q357251</a>&nbsp;tickets for temporary solution in XAF Web apps.<strong><br /></strong></p>"
ASPxFilterControl - Provide a tree-like field pickeer to be able to created criteria based on collection and nested properties of object references,"<p>It should be possible to use collection properties and complex reference paths like Manager.Position.Title visually.&nbsp;Refer to the attached WinForms screenshot for more details on what it could look like in the UI.</p>
<p>Check out the <a data-ticket=""T161022"">T161022</a>&nbsp;and&nbsp;<a data-ticket=""Q357251"">Q357251</a>&nbsp;tickets for temporary solutions in XAF Web apps.<br /><br /><strong>See Also:</strong></p>
<p><a data-ticket=""S38753"">ASPxFilterControl - Add the Text tab to allow creating any criteria</a><br /><a data-ticket=""S31977"">ASPxFilterControl - allow construct rules [Column1] [operation] [Column2] and Date constants like WinForms</a></p>"
ASPxFilterControl - Provide a tree-like field pickeer to be able to created criteria based on collection and nested properties of object references,"<p>See also:<br />
<a data-ticket=""S35143"">Filtering - Support hierarchical datasource structure (complex properties) in FilterControl and ASPxFilterControl</a><br />
<a data-ticket=""S32994"">FilterControl - show properties list in a tree to provide a capability to use properties of the referenced objects in criteria</a><br />
<a data-ticket=""S31300"">Add a control allowing the creation of any valid CriteriaOperator</a></p>"
ASPxFilterControl - show properties list in a tree to provide a capability to use properties of the referenced objects in criteria,"<p><strong>EDITED (by Dennis):</strong></p>
<p>1. It should be possible to select collection properties and complex reference paths (check <a data-ticket=""S35190"">S35190</a>&nbsp;for a temporary solution for XAF Web apps);<br />2. It should be possible to write any valid criteria operator, including custom functions. The Text type allowing manual input is good for this.<br />Refer to the attached WinForms screenshot for more details on what it could look like in the UI.<br /><strong><br /></strong></p>"
ASPxFilterControl - show properties list in a tree to provide a capability to use properties of the referenced objects in criteria,"<p><strong>EDITED (by Dennis):</strong></p>
<p>1. It should be possible to select collection properties and complex reference paths (check <a data-ticket=""S35190"">S35190</a>&nbsp;for a temporary solution for XAF Web apps);<br />2. It should be possible to write any valid criteria operator, including custom functions. The Text type allowing manual input is good for this.<br />Refer to the attached WinForms screenshot for more details on what it could look like in the UI.<br /><strong><br />See also:</strong><br /><a data-ticket=""S35190"">ASPxFilterControl - show properties list in a tree to provide a capability to use properties of the referenced objects in criteria</a></p>"
ASPxFilterControl - show properties list in a tree to provide a capability to use properties of the referenced objects in criteria,"<p><strong>EDITED (by Dennis):</strong></p>
<p>1. It should be possible to select collection properties and complex reference paths;<br />2. It should be possible to write any valid criteria operator, including custom functions. The Text type allowing manual input is good for this.<br />Refer to the attached WinForms screenshot for more details on what it could look like in the UI.<br /><strong><br />See also:</strong><br /><a data-ticket=""S35190"">ASPxFilterControl - show properties list in a tree to provide a capability to use properties of the referenced objects in criteria</a></p>"
ASPxFilterControl - show properties list in a tree to provide a capability to use properties of the referenced objects in criteria,"<p><strong>See also:</strong><br /><a data-ticket=""S35190"">ASPxFilterControl - show properties list in a tree to provide a capability to use properties of the referenced objects in criteria</a></p>"
ASPxFilterControl - show properties list in a tree to provide a capability to use properties of the referenced objects in criteria,"<p><strong>UPDATED by Dennis (DevExpress Support):</strong><br />It should be possible to use collection properties and complex reference paths like Manager.Position.Title while creating criteria visually.&nbsp;Refer to the attached WinForms screenshot for more details on what it could look like in the UI.</p>
<p>Check out the <a data-ticket=""T161022"">T161022</a>&nbsp;and&nbsp;<a data-ticket=""Q357251"">Q357251</a>&nbsp;tickets for temporary solutions in XAF Web apps.<br /><br /><strong>See Also:</strong></p>
<p><a data-ticket=""S31977"">ASPxFilterControl - Allow construct rules [Column1] [operation] [Column2] like in WinForms</a><br /><a data-ticket=""T166826"">ASPxFilterControl - Support predefined operations for date columns like in WinForms</a><br /><a data-ticket=""S38753"">ASPxFilterControl - Add the Text tab to allow creating criteria of any complexity</a></p>"
ASPxFilterControl - show properties list in a tree to provide a capability to use properties of the referenced objects in criteria,"<p><strong>UPDATED by Dennis (DevExpress Support):</strong><br />It should be possible to use collection properties and complex reference paths like Manager.Position.Title while creating criteria visually.&nbsp;Refer to the attached WinForms screenshot for more details on what it could look like in the UI.</p>
<p>Check out the <a data-ticket=""T161022"">T161022</a>&nbsp;and&nbsp;<a data-ticket=""Q357251"">Q357251</a>&nbsp;tickets for temporary solutions in XAF Web apps.<br /><br /><strong>See Also:</strong></p>
<p><a data-ticket=""S38753"">ASPxFilterControl - Add the Text tab to allow creating any criteria</a><br /><a data-ticket=""S31977"">ASPxFilterControl - allow construct rules [Column1] [operation] [Column2] and Date constants like WinForms</a></p>"
ASPxFilterControl - show properties list in a tree to provide a capability to use properties of the referenced objects in criteria,"<p><strong>UPDATED&nbsp;by Dennis (DevExpress Support):</strong></p>
<p>1. It should be possible to select collection properties and complex reference paths;<br />2. It should be possible to create and edit&nbsp;any valid criteria operator, including custom functions and free joins. A separate&nbsp;Text tab&nbsp;allowing manual input is good for this.&nbsp;Refer to the attached WinForms screenshot for more details on what it could look like in the UI.<br /><br />Check out the&nbsp;<a data-ticket=""Q357251"">Q357251</a>&nbsp;ticket for a temporary solution for XAF Web apps.<br /><strong><br /></strong></p>"
ASPxFilterControl - show properties list in a tree to provide a capability to use properties of the referenced objects in criteria,"<p><strong>UPDATED&nbsp;by Dennis (DevExpress Support):</strong></p>
<p>1. It should be possible to select collection properties and complex reference paths;<br />2. It should be possible to create and edit&nbsp;any valid criteria operator, including custom functions and free joins. A separate&nbsp;Text tab&nbsp;allowing manual input is good for this.&nbsp;Refer to the attached WinForms screenshot for more details on what it could look like in the UI.<br /><br />Check out the&nbsp;<a data-ticket=""S35190"">S35190</a>&nbsp;ticket for a temporary solution for XAF Web apps.<br /><strong><br /></strong></p>"
ASPxFilterControl - show properties list in a tree to provide a capability to use properties of the referenced objects in criteria,"<p><strong>UPDATED&nbsp;by Dennis (DevExpress Support):</strong></p>
<p>1. It should be possible to use collection properties and complex reference paths like Manager.Position.Title visually;<br />2. It should be possible to create and edit&nbsp;any valid criteria operator, including custom functions and free joins. A separate&nbsp;Text tab&nbsp;allowing manual input is good for this.&nbsp;Refer to the attached WinForms screenshot for more details on what it could look like in the UI.<br />Check out the <a data-ticket=""T161022"">T161022</a>&nbsp;and&nbsp;<a data-ticket=""Q357251"">Q357251</a>&nbsp;tickets for temporary solution in XAF Web apps.<br /><br /><strong>See Also:</strong></p>
<p><a data-ticket=""S38753"">ASPxFilterControl - Add the Text tab to allow creating any criteria</a><br /><a data-ticket=""S31977"">ASPxFilterControl - allow construct rules [Column1] [operation] [Column2] and Date constants like WinForms</a></p>"
ASPxFilterControl - show properties list in a tree to provide a capability to use properties of the referenced objects in criteria,"<p><strong>UPDATED&nbsp;by Dennis (DevExpress Support):</strong></p>
<p>1. It should be possible to use collection properties and complex reference paths like Manager.Position.Title visually;<br />2. It should be possible to create and edit&nbsp;any valid criteria operator, including custom functions and free joins. A separate&nbsp;Text tab&nbsp;allowing manual input is good for this.&nbsp;Refer to the attached WinForms screenshot for more details on what it could look like in the UI.<br />Check out the <a data-ticket=""T161022"">T161022</a>&nbsp;and&nbsp;<a data-ticket=""Q357251"">Q357251</a>&nbsp;tickets for temporary solution in XAF Web apps.<strong><br /></strong></p>"
ASPxFilterControl - show properties list in a tree to provide a capability to use properties of the referenced objects in criteria,"<p>It should be possible to use collection properties and complex reference paths like Manager.Position.Title visually.&nbsp;Refer to the attached WinForms screenshot for more details on what it could look like in the UI.</p>
<p>Check out the <a data-ticket=""T161022"">T161022</a>&nbsp;and&nbsp;<a data-ticket=""Q357251"">Q357251</a>&nbsp;tickets for temporary solutions in XAF Web apps.<br /><br /><strong>See Also:</strong></p>
<p><a data-ticket=""S38753"">ASPxFilterControl - Add the Text tab to allow creating any criteria</a><br /><a data-ticket=""S31977"">ASPxFilterControl - allow construct rules [Column1] [operation] [Column2] and Date constants like WinForms</a></p>"
ASPxFilterControl - show properties list in a tree to provide a capability to use properties of the referenced objects in criteria,"<p>See also:<br />
<a data-ticket=""S35143"">Filtering - Support hierarchical datasource structure (complex properties) in FilterControl and ASPxFilterControl</a><br />
<a data-ticket=""S32994"">FilterControl - show properties list in a tree to provide a capability to use properties of the referenced objects in criteria</a><br />
<a data-ticket=""S31300"">Add a control allowing the creation of any valid CriteriaOperator</a></p>"
ASPxFilterControl - XSS vulnerability - Filter Expression is rendered without html encoding,"1. FilterControl text tab error text doesn't encode.<br>Require:<br>&nbsp; &nbsp; - enable FilterControl TextTab (SettingsFilterControl.ViewMode = ""VisualAndText"")<br>Controls: ASPxFilterControl, ASPxGridView, ASPxCardView, ASPxVerticalGrid.<br>Version:&nbsp;15.2+<br><br>2. Grid/PivotGrid FilterBuilder - filterExpression display string encoded partially:<br><br>2.1. Set ""bad"" filterExpression with XSS on the server side.<br>Require: <br>&nbsp; &nbsp; - show FilterBuilder (Settings.ShowFilterBar=""Visible/Auto"")<br>Controls: ASPxGridView, ASPxCardView, ASPxVerticalGrid, ASPxPivotGrid.<br>Version: 8.1+<br><br>2.2. Set XSS filterExpression on the&nbsp;client side through text tab. <br>Require: <br>&nbsp; &nbsp; - show FilterBuilder (Settings.ShowFilterBar=""Visible/Auto"")<br>&nbsp; &nbsp; - enable FilterControl TextTab (SettingsFilterControl.ViewMode = ""VisualAndText"")<br>&nbsp; &nbsp; - enable SettingsFilterControl.ShowAllDataSourceColumns property<br>&nbsp; &nbsp; - has IList/IEnumerable field in grid dataSource<br>Controls: ASPxGridView, ASPxCardView, ASPxVerticalGrid<br>Version: 15.2+"
ASPxFormLayout -  How to call update in EntityDataSource,"<p>Hi,<br />
<br />
I am discovering the ASPxFormLayout,<br />
and I am having dificults to save the edited values when using entitydatasource<br />
I make a simple exemple of my dificulty.<br />
How can I code the Button_click event? <br />
<br />
Best Regards<br />
<br />
Fernando</p>"
ASPxFormLayout -  How to make the editors fill the entire area,"Dear DevExpress Support,<br><br>I am currently evaluating a trial version of DevExpress 18.x for the creation of a new ASP.NET based application.<br>I am rather new to Webdevelopment and am not so familiar with all these concepts in contrast to the Windows Forms application development. .<br><br>I now try to create a multi tabbed layout that contains 3 ASPxFormLayout controls that hold my controls that I want to populate.<br><br>I've laid out the layouot like I want it to be in the designer (see Attachment 1).<br><br>However when the application runs, the controls are much to short and look rather ugly.<br>I want them to span the available space within the defined ColSpan . See Attachment 2.<br><br>I searched for a property which would allow me to to do this and stumpled over GridSettings.StretchLastItem, which neatly strechted the controls like I want them to. However, my layout is not honored anymore now, and I only have one control per line... .<br><br>How can I achieve my goal? Which property/setting am I missing?<br>Kindly be as descriptive as possible when describing its location as I am not very familiar with all controls and their properties yet.<br><br><br>Thank you!<br><br>With BR<br>Markus "
ASPxFormLayout - The client-side FindItemByName method doesn't work when the control is in ASPxCallbackPanel,I'm using the formlayout.FindItemByName clientside method and found that when the formlayout is contained within an aspxcallbackpanel it doesn't work.&nbsp; It&nbsp;returns the&nbsp;formlayout object but not the item. The method works fine for formlayouts which aren't in a callbackpanel.&nbsp; I've checked the client IDs and they are all set and referenced correctly.<br><br>Why would this be? Is there a different way of referencing the formlayout in callbackpanels?<br><br>Many Thanks<br><br>Marcus<br> 
ASPxGlobalEvents - The sender argument of the BeginCallback event refers to the ASPxGlobalEvents component instance rather than to the control that initiates a callback,In v2015 vol 1.x the sender of public events is control which raise event.<br>In v2015 vol 2.x &nbsp;the sender of public events is always&nbsp;ASPxGlobalEvents control.<br>Confirm this breaking change?
"ASPxGridListEditor - How to customize the column chooser of the Web ListView's grid control (e.g., increase its size or make it resizeable)","<p>Hello,<br />
How can I control the order in which fields appear in the Fi elds selector?<br />
Also, I would like to make it bigger, currently it shows only  5 elements and you need to use the scroll bar.<br />
Is it possible to group the elements according to some categories?<br />
<br />
Thanks &amp; regards</p>"
"ASPxGridListEditor - How to customize the column chooser of the Web ListView's grid control (e.g., increase its size or make it resizeable)","<p>Hello,<br> How can I control the order in which fields appear in the Fields selector?<br> Also, I would like to make it bigger, currently it shows only 5 elements and you need to use the scroll bar.<br> Is it possible to group the elements according to some categories?<br> <br> Thanks &amp; regards</p>"
ASPxGridListEditor - Make the CreateGridViewCore method return the GridView object,"<p>I need to make AdvBandedGridListEditor.<br />
And now I can&#39;t override method GridListEditor.CreateGridViewCore() because AdvBandedGridView doesn&#39;t derive from XafGridView.</p><p>GridListEditor.CreateGridViewCore() used just method GridListEditor.CreateGridView() which returned GridView object.</p><p><strong>Proposed Solution:</strong></p><p>Change return type for method GridListEditor.CreateGridViewCore() to GridView</p>"
